type,name,capacity,membership,object_id_school,object_id_area
ES,Aldrin,569,459,4963,4984
ES,Annandale Terrace,784,669,4987,4985
ES,Armstrong,482,357,4964,4986
ES,Bailey's,914,807,5050,4987
ES,Beech Tree,482,359,5001,5119
ES,Belle View,534,420,5018,4988
ES,Belvedere,706,620,5045,4989
ES,Bonnie Brae,896,779,5013,4990
ES,Braddock,1026,946,4988,4991
ES,Bren Mar Park,527,496,5078,4992
ES,Brookfield,812,680,5010,4993
ES,Bucknell,560,331,5019,4994
ES,Bull Run,915,765,4995,4995
ES,Bush Hill,860,687,5083,4996
ES,Camelot,703,604,5038,4997
ES,Cameron,744,601,5034,4998
ES,Canterbury Woods,853,737,5053,4999
ES,Cardinal Forest,695,708,5072,5000
ES,Centre Ridge,800,667,4994,5001
ES,Centreville,914,742,4993,5002
ES,Cherry Run,594,501,5026,5003
ES,Chesterbrook,688,564,4958,5004
ES,Churchill Road,792,635,5068,5005
ES,Clearview,787,602,4969,5006
ES,Clermont,561,548,5035,5007
ES,Coates,720,983,4950,5008
ES,Columbia,430,390,4986,5009
ES,Colvin Run,921,761,4948,5010
ES,Crestwood,702,577,5048,5011
ES,Crossfield,634,529,5069,5012
ES,Cub Run,737,629,5000,5013
ES,Cunningham Park,509,414,5003,5014
ES,Daniels Run,864,829,5040,5015
ES,Deer Park,687,531,5042,5016
ES,Dogwood,791,746,4956,5017
ES,Dranesville,748,617,4962,5018
ES,Eagle View,778,675,5041,5019
ES,Fairfax Villa,648,530,5011,5020
ES,Fairhill,500,563,4974,5021
ES,Fairview,756,752,5014,5022
ES,Flint Hill,670,614,5005,5023
ES,Floris,729,666,4957,5024
ES,Forest Edge,611,453,4970,5025
ES,Forestdale,677,545,5021,5026
ES,Forestville,645,573,4961,5027
ES,Fort Belvoir Primary,661,709,5088,5120
ES,Fort Hunt,690,552,5062,5028
ES,Fox Mill,764,651,4984,5029
ES,Franconia,532,493,5084,5030
ES,Franklin Sherman,418,290,4951,5031
ES,Freedom Hill,631,512,4966,5032
ES,Garfield,452,312,5022,5033
ES,Glen Forest,914,787,5051,5034
